Title	Year	Director	Where Seen
A Trip to the Moon	1902	George Méliès	NFXS
FrankeNFXStein	1910		Wikipedia
Nosferatu	1922		NFXS
Sherlock Jr.	1924		NFXS
The General			NFXS
Animal Crackers			GPL
City Lights			K
FrankeNFXStein	1931		SS
Scarface			HCMRC
Duck Soup			NFXS
A Night at the Opera			GPL
Mr. Smith Goes to Washington			NFXS
Wizard of Oz			U
Stagecoach			HCMRC
Pinocchio			HVHS
The Shop Around the Corner			HCMRC
Citizen Kane			NFXDVD
Dumbo			NFXS
Casablanca			T*
The Magnificent AmbersoNFXS			HCMRC
Shadow of A Doubt			HCMRC
The Ox-Bow Incident			HCMRC
Double Indemnity			NFXS
The Clock			HCMRC
The Yearling			HCMRC
The Big Sleep			HCMRC
It’s a Wonderful Life			TV
Gentleman’s Agreement			HBOGO
The Bicycle Thieves			NFXS
The Third Man			iTunes
Rashomon			Loyola
Sundet Boulevard			NFXS
The African Queen			NFXS
High Noon			T*
Singin’ in the Rain			NFXDVD
Peter Pan			HVHS
Roman Holiday			LifeSource
Tokyo Story			K
Rear Window			Loyola
On the Waterfront			NFXDVD
Dial M for Murder			NFXS
Lady and the Tramp			HVHS
The Man Who Knew Too Much			NFXDVD
Old Yeller			HVHS
12 Angry Men			Loyola(Speech)
Vertigo			NFXDVD
Sleeping Beauty			SS
North By Northwest			NFXDVD
Psycho			NFXDVD
The Apartment			FreeXfinity
West Side Story			OLPH
Breakfast at Tiffany’s			NFXS
Ride the High Country			HCMRC
To Kill a Mockingbird			NFXDVD
Lolita			AmazonRental
The Birds			NFXDVD
The Sword in the Stone			CottageVHS
The Great Escape			TV(TCM)
A Hard Day’s Night			HDVD
Dr. Strangelove			NFXS
The Sound Of Music			T*
Help!			YouTube
The Graduate			NFXS
Bonnie & Clyde			NFXS
The Jungle Book			HVHS
Wait Until Dark			OLPH
Planet of the Apes			Blockbuster
2001: A Space Odyssey			NFXDVD
The Odd Couple			NFXS
Romeo and Juliet			Loyola
The Producers			NFXS
Midnight Cowboy			NFXS
Easy Rider			NFXS
MASH			NFXS
Five Easy Pieces			NFXS
The French Connection			NFXS
The Last Picture Show			AmazonRental
Harold and Maude			NFXS
McCabe & Mrs. Miller			AmazonRental
Willy Wonka & the Chocolate Factory			TV?GPL?
Brian’s Song			HDVD
The Godfather			NFXDVD
Play It Again Sam			NFXS
The Heartbreak Kid			HCMRC
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask)			NFXS
Sounder			HCMRC
The Exorcist			Blockbuster
American Graffiti			NFXDVD
Jesus Christ Superstar			NFXS
The Long Goodbye			AmazonRental
Westworld			FreeXFinity
Robin Hood			HDVD
The Godfather 2			NFXDVD
Young FrankeNFXStein			NFXS
Chinatown			NFXDVD
Rocky Horror Picture Show			T*
Jaws			Blockbuster
One Flew Over the Cuckoo’s Nest			NFXS
Monty Python and the Holy Grail			Blockbuster
Rocky			NFXS
All the President’s Men			NFXDVD
Taxi Driver			NFXS
Marathon Man			NFXS
Next Stop Greenwich Village			SS
The Omen			NFXS
Annie Hall			NFXS
Star Wars Episode IV: A New Hope			NFXDVD
Saturday Night Fever			NFXS
New York New York			SS
High Anxiety			NFXS
Grease			HVHS
Jaws 2			Blockbuster
Halloween			TV
Alien			Plane
Kramer v. Kramer			NFXS
Apocalypse Now			NFXS
The Muppet Movie			NFXS
Black Stallion			HCMRC
Manhattan			NFXS
Life of Brian			ConorDVD
The Warriors			NFXS
Star Wars Episode V: The Empire Strikes Back			NFXDVD
Airplane!			Blockbuster
The Blues Brothers			TV
The Shining			NFXS
Ordinary People			NFXS
Raging Bull			Nerflix
Caddyshack			HDVD
Dressed to Kill			AmazonRental
The Gods Must Be Crazy			GPL
Indiana Jones and the Raiders is The Lost Ark			NFXDVD
Stripes			Bloclbuster
Das Boot			ArimondVHS
Blade Runner(Final Cut)			AmazonRental
Diner			HCMRC
ET			T*
Airplane II			Blockbuster
Stars Wars Episode VI: Return of the Jedi			NFXDVD
Risky Business			NFXS
Jaws 3-D			Blockbuster
National Lampoon’s Vacation			HVHS
The Outsiders			OLPH
Ghostbusters			NFXS
Indiana Jones & The temple of Doom			AmazonPrime
Sixteen Candles			TV
Terminator			Nick
This Is Spinal Tap			NFXS
The Breakfast Club			TV
Back to the Future			NFXDVD
